Sample in Buffer,Sample in Window,TRIGGER,design_1_i/system_ila_0/inst/net_slot_0_axis_tdata[31:0],design_1_i/system_ila_0/inst/net_slot_0_axis_tkeep[3:0],design_1_i/system_ila_0/inst/net_slot_0_axis_tvalid,design_1_i/system_ila_0/inst/net_slot_0_axis_tready,design_1_i/system_ila_0/inst/net_slot_0_axis_tlast,Interface_(i1:s0)_(axi_dma_0_M_AXIS_MM2S)[2:0],T_Channel_(i1:s0)_(axi_dma_0_M_AXIS_MM2S)[2:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,00000000,e,0,1,0,"_","_"
1,1,0,00000000,e,0,1,0,"_","_"
2,2,0,00000000,e,0,1,0,"_","_"
3,3,0,00000000,e,0,1,0,"_","_"
4,4,0,00000000,e,0,1,0,"_","_"
5,5,0,00000000,e,0,1,0,"_","_"
6,6,0,00000000,e,0,1,0,"_","_"
7,7,0,00000000,e,0,1,0,"_","_"
8,8,0,00000000,e,0,1,0,"_","_"
9,9,0,00000000,e,0,1,0,"_","_"
10,10,0,00000000,e,0,1,0,"_","_"
11,11,0,00000000,e,0,1,0,"_","_"
12,12,0,00000000,e,0,1,0,"_","_"
13,13,0,00000000,e,0,1,0,"_","_"
14,14,0,00000000,e,0,1,0,"_","_"
15,15,0,00000000,e,0,1,0,"_","_"
16,16,0,00000000,e,0,1,0,"_","_"
17,17,0,00000000,e,0,1,0,"_","_"
18,18,0,00000000,e,0,1,0,"_","_"
19,19,0,00000000,e,0,1,0,"_","_"
20,20,0,00000000,e,0,1,0,"_","_"
21,21,0,00000000,e,0,1,0,"_","_"
22,22,0,00000000,e,0,1,0,"_","_"
23,23,0,00000000,e,0,1,0,"_","_"
24,24,0,00000000,e,0,1,0,"_","_"
25,25,0,00000000,e,0,1,0,"_","_"
26,26,0,00000000,e,0,1,0,"_","_"
27,27,0,00000000,e,0,1,0,"_","_"
28,28,0,00000000,e,0,1,0,"_","_"
29,29,0,00000000,e,0,1,0,"_","_"
30,30,0,00000000,e,0,1,0,"_","_"
31,31,0,00000000,e,0,1,0,"_","_"
32,32,0,00000000,e,0,1,0,"_","_"
33,33,0,00000000,e,0,1,0,"_","_"
34,34,0,00000000,e,0,1,0,"_","_"
35,35,0,00000000,e,0,1,0,"_","_"
36,36,0,00000000,e,0,1,0,"_","_"
37,37,0,00000000,e,0,1,0,"_","_"
38,38,0,00000000,e,0,1,0,"_","_"
39,39,0,00000000,e,0,1,0,"_","_"
40,40,0,00000000,e,0,1,0,"_","_"
41,41,0,00000000,e,0,1,0,"_","_"
42,42,0,00000000,e,0,1,0,"_","_"
43,43,0,00000000,e,0,1,0,"_","_"
44,44,0,00000000,e,0,1,0,"_","_"
45,45,0,00000000,e,0,1,0,"_","_"
46,46,0,00000000,e,0,1,0,"_","_"
47,47,0,00000000,e,0,1,0,"_","_"
48,48,0,00000000,e,0,1,0,"_","_"
49,49,0,00000000,e,0,1,0,"_","_"
50,50,0,00000000,e,0,1,0,"_","_"
51,51,0,00000000,e,0,1,0,"_","_"
52,52,0,00000000,e,0,1,0,"_","_"
53,53,0,00000000,e,0,1,0,"_","_"
54,54,0,00000000,e,0,1,0,"_","_"
55,55,0,00000000,e,0,1,0,"_","_"
56,56,0,00000000,e,0,1,0,"_","_"
57,57,0,00000000,e,0,1,0,"_","_"
58,58,0,00000000,e,0,1,0,"_","_"
59,59,0,00000000,e,0,1,0,"_","_"
60,60,0,00000000,e,0,1,0,"_","_"
61,61,0,00000000,e,0,1,0,"_","_"
62,62,0,00000000,e,0,1,0,"_","_"
63,63,0,00000000,e,0,1,0,"_","_"
64,64,0,00000000,e,0,1,0,"_","_"
65,65,0,00000000,e,0,1,0,"_","_"
66,66,0,00000000,e,0,1,0,"_","_"
67,67,0,00000000,e,0,1,0,"_","_"
68,68,0,00000000,e,0,1,0,"_","_"
69,69,0,00000000,e,0,1,0,"_","_"
70,70,0,00000000,e,0,1,0,"_","_"
71,71,0,00000000,e,0,1,0,"_","_"
72,72,0,00000000,e,0,1,0,"_","_"
73,73,0,00000000,e,0,1,0,"_","_"
74,74,0,00000000,e,0,1,0,"_","_"
75,75,0,00000000,e,0,1,0,"_","_"
76,76,0,00000000,e,0,1,0,"_","_"
77,77,0,00000000,e,0,1,0,"_","_"
78,78,0,00000000,e,0,1,0,"_","_"
79,79,0,00000000,e,0,1,0,"_","_"
80,80,0,00000000,e,0,1,0,"_","_"
81,81,0,00000000,e,0,1,0,"_","_"
82,82,0,00000000,e,0,1,0,"_","_"
83,83,0,00000000,e,0,1,0,"_","_"
84,84,0,00000000,e,0,1,0,"_","_"
85,85,0,00000000,e,0,1,0,"_","_"
86,86,0,00000000,e,0,1,0,"_","_"
87,87,0,00000000,e,0,1,0,"_","_"
88,88,0,00000000,e,0,1,0,"_","_"
89,89,0,00000000,e,0,1,0,"_","_"
90,90,0,00000000,e,0,1,0,"_","_"
91,91,0,00000000,e,0,1,0,"_","_"
92,92,0,00000000,e,0,1,0,"_","_"
93,93,0,00000000,e,0,1,0,"_","_"
94,94,0,00000000,e,0,1,0,"_","_"
95,95,0,00000000,e,0,1,0,"_","_"
96,96,0,00000000,e,0,1,0,"_","_"
97,97,0,00000000,e,0,1,0,"_","_"
98,98,0,00000000,e,0,1,0,"_","_"
99,99,0,00000000,e,0,1,0,"_","_"
100,100,0,00000000,e,0,1,0,"_","_"
101,101,0,00000000,e,0,1,0,"_","_"
102,102,0,00000000,e,0,1,0,"_","_"
103,103,0,00000000,e,0,1,0,"_","_"
104,104,0,00000000,e,0,1,0,"_","_"
105,105,0,00000000,e,0,1,0,"_","_"
106,106,0,00000000,e,0,1,0,"_","_"
107,107,0,00000000,e,0,1,0,"_","_"
108,108,0,00000000,e,0,1,0,"_","_"
109,109,0,00000000,e,0,1,0,"_","_"
110,110,0,00000000,e,0,1,0,"_","_"
111,111,0,00000000,e,0,1,0,"_","_"
112,112,0,00000000,e,0,1,0,"_","_"
113,113,0,00000000,e,0,1,0,"_","_"
114,114,0,00000000,e,0,1,0,"_","_"
115,115,0,00000000,e,0,1,0,"_","_"
116,116,0,00000000,e,0,1,0,"_","_"
117,117,0,00000000,e,0,1,0,"_","_"
118,118,0,00000000,e,0,1,0,"_","_"
119,119,0,00000000,e,0,1,0,"_","_"
120,120,0,00000000,e,0,1,0,"_","_"
121,121,0,00000000,e,0,1,0,"_","_"
122,122,0,00000000,e,0,1,0,"_","_"
123,123,0,00000000,e,0,1,0,"_","_"
124,124,0,00000000,e,0,1,0,"_","_"
125,125,0,00000000,e,0,1,0,"_","_"
126,126,0,00000000,e,0,1,0,"_","_"
127,127,0,00000000,e,0,1,0,"_","_"
128,128,0,00000000,e,0,1,0,"_","_"
129,129,0,00000000,e,0,1,0,"_","_"
130,130,0,00000000,e,0,1,0,"_","_"
131,131,0,00000000,e,0,1,0,"_","_"
132,132,0,00000000,e,0,1,0,"_","_"
133,133,0,00000000,e,0,1,0,"_","_"
134,134,0,00000000,e,0,1,0,"_","_"
135,135,0,00000000,e,0,1,0,"_","_"
136,136,0,00000000,e,0,1,0,"_","_"
137,137,0,00000000,e,0,1,0,"_","_"
138,138,0,00000000,e,0,1,0,"_","_"
139,139,0,00000000,e,0,1,0,"_","_"
140,140,0,00000000,e,0,1,0,"_","_"
141,141,0,00000000,e,0,1,0,"_","_"
142,142,0,00000000,e,0,1,0,"_","_"
143,143,0,00000000,e,0,1,0,"_","_"
144,144,0,00000000,e,0,1,0,"_","_"
145,145,0,00000000,e,0,1,0,"_","_"
146,146,0,00000000,e,0,1,0,"_","_"
147,147,0,00000000,e,0,1,0,"_","_"
148,148,0,00000000,e,0,1,0,"_","_"
149,149,0,00000000,e,0,1,0,"_","_"
150,150,0,00000000,e,0,1,0,"_","_"
151,151,0,00000000,e,0,1,0,"_","_"
152,152,0,00000000,e,0,1,0,"_","_"
153,153,0,00000000,e,0,1,0,"_","_"
154,154,0,00000000,e,0,1,0,"_","_"
155,155,0,00000000,e,0,1,0,"_","_"
156,156,0,00000000,e,0,1,0,"_","_"
157,157,0,00000000,e,0,1,0,"_","_"
158,158,0,00000000,e,0,1,0,"_","_"
159,159,0,00000000,e,0,1,0,"_","_"
160,160,0,00000000,e,0,1,0,"_","_"
161,161,0,00000000,e,0,1,0,"_","_"
162,162,0,00000000,e,0,1,0,"_","_"
163,163,0,00000000,e,0,1,0,"_","_"
164,164,0,00000000,e,0,1,0,"_","_"
165,165,0,00000000,e,0,1,0,"_","_"
166,166,0,00000000,e,0,1,0,"_","_"
167,167,0,00000000,e,0,1,0,"_","_"
168,168,0,00000000,e,0,1,0,"_","_"
169,169,0,00000000,e,0,1,0,"_","_"
170,170,0,00000000,e,0,1,0,"_","_"
171,171,0,00000000,e,0,1,0,"_","_"
172,172,0,00000000,e,0,1,0,"_","_"
173,173,0,00000000,e,0,1,0,"_","_"
174,174,0,00000000,e,0,1,0,"_","_"
175,175,0,00000000,e,0,1,0,"_","_"
176,176,0,00000000,e,0,1,0,"_","_"
177,177,0,00000000,e,0,1,0,"_","_"
178,178,0,00000000,e,0,1,0,"_","_"
179,179,0,00000000,e,0,1,0,"_","_"
180,180,0,00000000,e,0,1,0,"_","_"
181,181,0,00000000,e,0,1,0,"_","_"
182,182,0,00000000,e,0,1,0,"_","_"
183,183,0,00000000,e,0,1,0,"_","_"
184,184,0,00000000,e,0,1,0,"_","_"
185,185,0,00000000,e,0,1,0,"_","_"
186,186,0,00000000,e,0,1,0,"_","_"
187,187,0,00000000,e,0,1,0,"_","_"
188,188,0,00000000,e,0,1,0,"_","_"
189,189,0,00000000,e,0,1,0,"_","_"
190,190,0,00000000,e,0,1,0,"_","_"
191,191,0,00000000,e,0,1,0,"_","_"
192,192,0,00000000,e,0,1,0,"_","_"
193,193,0,00000000,e,0,1,0,"_","_"
194,194,0,00000000,e,0,1,0,"_","_"
195,195,0,00000000,e,0,1,0,"_","_"
196,196,0,00000000,e,0,1,0,"_","_"
197,197,0,00000000,e,0,1,0,"_","_"
198,198,0,00000000,e,0,1,0,"_","_"
199,199,0,00000000,e,0,1,0,"_","_"
200,200,0,00000000,e,0,1,0,"_","_"
201,201,0,00000000,e,0,1,0,"_","_"
202,202,0,00000000,e,0,1,0,"_","_"
203,203,0,00000000,e,0,1,0,"_","_"
204,204,0,00000000,e,0,1,0,"_","_"
205,205,0,00000000,e,0,1,0,"_","_"
206,206,0,00000000,e,0,1,0,"_","_"
207,207,0,00000000,e,0,1,0,"_","_"
208,208,0,00000000,e,0,1,0,"_","_"
209,209,0,00000000,e,0,1,0,"_","_"
210,210,0,00000000,e,0,1,0,"_","_"
211,211,0,00000000,e,0,1,0,"_","_"
212,212,0,00000000,e,0,1,0,"_","_"
213,213,0,00000000,e,0,1,0,"_","_"
214,214,0,00000000,e,0,1,0,"_","_"
215,215,0,00000000,e,0,1,0,"_","_"
216,216,0,00000000,e,0,1,0,"_","_"
217,217,0,00000000,e,0,1,0,"_","_"
218,218,0,00000000,e,0,1,0,"_","_"
219,219,0,00000000,e,0,1,0,"_","_"
220,220,0,00000000,e,0,1,0,"_","_"
221,221,0,00000000,e,0,1,0,"_","_"
222,222,0,00000000,e,0,1,0,"_","_"
223,223,0,00000000,e,0,1,0,"_","_"
224,224,0,00000000,e,0,1,0,"_","_"
225,225,0,00000000,e,0,1,0,"_","_"
226,226,0,00000000,e,0,1,0,"_","_"
227,227,0,00000000,e,0,1,0,"_","_"
228,228,0,00000000,e,0,1,0,"_","_"
229,229,0,00000000,e,0,1,0,"_","_"
230,230,0,00000000,e,0,1,0,"_","_"
231,231,0,00000000,e,0,1,0,"_","_"
232,232,0,00000000,e,0,1,0,"_","_"
233,233,0,00000000,e,0,1,0,"_","_"
234,234,0,00000000,e,0,1,0,"_","_"
235,235,0,00000000,e,0,1,0,"_","_"
236,236,0,00000000,e,0,1,0,"_","_"
237,237,0,00000000,e,0,1,0,"_","_"
238,238,0,00000000,e,0,1,0,"_","_"
239,239,0,00000000,e,0,1,0,"_","_"
240,240,0,00000000,e,0,1,0,"_","_"
241,241,0,00000000,e,0,1,0,"_","_"
242,242,0,00000000,e,0,1,0,"_","_"
243,243,0,00000000,e,0,1,0,"_","_"
244,244,0,00000000,e,0,1,0,"_","_"
245,245,0,00000000,e,0,1,0,"_","_"
246,246,0,00000000,e,0,1,0,"_","_"
247,247,0,00000000,e,0,1,0,"_","_"
248,248,0,00000000,e,0,1,0,"_","_"
249,249,0,00000000,e,0,1,0,"_","_"
250,250,0,00000000,e,0,1,0,"_","_"
251,251,0,00000000,e,0,1,0,"_","_"
252,252,0,00000000,e,0,1,0,"_","_"
253,253,0,00000000,e,0,1,0,"_","_"
254,254,0,00000000,e,0,1,0,"_","_"
255,255,0,00000000,e,0,1,0,"_","_"
256,256,0,00000000,e,0,1,0,"_","_"
257,257,0,00000000,e,0,1,0,"_","_"
258,258,0,00000000,e,0,1,0,"_","_"
259,259,0,00000000,e,0,1,0,"_","_"
260,260,0,00000000,e,0,1,0,"_","_"
261,261,0,00000000,e,0,1,0,"_","_"
262,262,0,00000000,e,0,1,0,"_","_"
263,263,0,00000000,e,0,1,0,"_","_"
264,264,0,00000000,e,0,1,0,"_","_"
265,265,0,00000000,e,0,1,0,"_","_"
266,266,0,00000000,e,0,1,0,"_","_"
267,267,0,00000000,e,0,1,0,"_","_"
268,268,0,00000000,e,0,1,0,"_","_"
269,269,0,00000000,e,0,1,0,"_","_"
270,270,0,00000000,e,0,1,0,"_","_"
271,271,0,00000000,e,0,1,0,"_","_"
272,272,0,00000000,e,0,1,0,"_","_"
273,273,0,00000000,e,0,1,0,"_","_"
274,274,0,00000000,e,0,1,0,"_","_"
275,275,0,00000000,e,0,1,0,"_","_"
276,276,0,00000000,e,0,1,0,"_","_"
277,277,0,00000000,e,0,1,0,"_","_"
278,278,0,00000000,e,0,1,0,"_","_"
279,279,0,00000000,e,0,1,0,"_","_"
280,280,0,00000000,e,0,1,0,"_","_"
281,281,0,00000000,e,0,1,0,"_","_"
282,282,0,00000000,e,0,1,0,"_","_"
283,283,0,00000000,e,0,1,0,"_","_"
284,284,0,00000000,e,0,1,0,"_","_"
285,285,0,00000000,e,0,1,0,"_","_"
286,286,0,00000000,e,0,1,0,"_","_"
287,287,0,00000000,e,0,1,0,"_","_"
288,288,0,00000000,e,0,1,0,"_","_"
289,289,0,00000000,e,0,1,0,"_","_"
290,290,0,00000000,e,0,1,0,"_","_"
291,291,0,00000000,e,0,1,0,"_","_"
292,292,0,00000000,e,0,1,0,"_","_"
293,293,0,00000000,e,0,1,0,"_","_"
294,294,0,00000000,e,0,1,0,"_","_"
295,295,0,00000000,e,0,1,0,"_","_"
296,296,0,00000000,e,0,1,0,"_","_"
297,297,0,00000000,e,0,1,0,"_","_"
298,298,0,00000000,e,0,1,0,"_","_"
299,299,0,00000000,e,0,1,0,"_","_"
300,300,0,00000000,e,0,1,0,"_","_"
301,301,0,00000000,e,0,1,0,"_","_"
302,302,0,00000000,e,0,1,0,"_","_"
303,303,0,00000000,e,0,1,0,"_","_"
304,304,0,00000000,e,0,1,0,"_","_"
305,305,0,00000000,e,0,1,0,"_","_"
306,306,0,00000000,e,0,1,0,"_","_"
307,307,0,00000000,e,0,1,0,"_","_"
308,308,0,00000000,e,0,1,0,"_","_"
309,309,0,00000000,e,0,1,0,"_","_"
310,310,0,00000000,e,0,1,0,"_","_"
311,311,0,00000000,e,0,1,0,"_","_"
312,312,0,00000000,e,0,1,0,"_","_"
313,313,0,00000000,e,0,1,0,"_","_"
314,314,0,00000000,e,0,1,0,"_","_"
315,315,0,00000000,e,0,1,0,"_","_"
316,316,0,00000000,e,0,1,0,"_","_"
317,317,0,00000000,e,0,1,0,"_","_"
318,318,0,00000000,e,0,1,0,"_","_"
319,319,0,00000000,e,0,1,0,"_","_"
320,320,0,00000000,e,0,1,0,"_","_"
321,321,0,00000000,e,0,1,0,"_","_"
322,322,0,00000000,e,0,1,0,"_","_"
323,323,0,00000000,e,0,1,0,"_","_"
324,324,0,00000000,e,0,1,0,"_","_"
325,325,0,00000000,e,0,1,0,"_","_"
326,326,0,00000000,e,0,1,0,"_","_"
327,327,0,00000000,e,0,1,0,"_","_"
328,328,0,00000000,e,0,1,0,"_","_"
329,329,0,00000000,e,0,1,0,"_","_"
330,330,0,00000000,e,0,1,0,"_","_"
331,331,0,00000000,e,0,1,0,"_","_"
332,332,0,00000000,e,0,1,0,"_","_"
333,333,0,00000000,e,0,1,0,"_","_"
334,334,0,00000000,e,0,1,0,"_","_"
335,335,0,00000000,e,0,1,0,"_","_"
336,336,0,00000000,e,0,1,0,"_","_"
337,337,0,00000000,e,0,1,0,"_","_"
338,338,0,00000000,e,0,1,0,"_","_"
339,339,0,00000000,e,0,1,0,"_","_"
340,340,0,00000000,e,0,1,0,"_","_"
341,341,0,00000000,e,0,1,0,"_","_"
342,342,0,00000000,e,0,1,0,"_","_"
343,343,0,00000000,e,0,1,0,"_","_"
344,344,0,00000000,e,0,1,0,"_","_"
345,345,0,00000000,e,0,1,0,"_","_"
346,346,0,00000000,e,0,1,0,"_","_"
347,347,0,00000000,e,0,1,0,"_","_"
348,348,0,00000000,e,0,1,0,"_","_"
349,349,0,00000000,e,0,1,0,"_","_"
350,350,0,00000000,e,0,1,0,"_","_"
351,351,0,00000000,e,0,1,0,"_","_"
352,352,0,00000000,e,0,1,0,"_","_"
353,353,0,00000000,e,0,1,0,"_","_"
354,354,0,00000000,e,0,1,0,"_","_"
355,355,0,00000000,e,0,1,0,"_","_"
356,356,0,00000000,e,0,1,0,"_","_"
357,357,0,00000000,e,0,1,0,"_","_"
358,358,0,00000000,e,0,1,0,"_","_"
359,359,0,00000000,e,0,1,0,"_","_"
360,360,0,00000000,e,0,1,0,"_","_"
361,361,0,00000000,e,0,1,0,"_","_"
362,362,0,00000000,e,0,1,0,"_","_"
363,363,0,00000000,e,0,1,0,"_","_"
364,364,0,00000000,e,0,1,0,"_","_"
365,365,0,00000000,e,0,1,0,"_","_"
366,366,0,00000000,e,0,1,0,"_","_"
367,367,0,00000000,e,0,1,0,"_","_"
368,368,0,00000000,e,0,1,0,"_","_"
369,369,0,00000000,e,0,1,0,"_","_"
370,370,0,00000000,e,0,1,0,"_","_"
371,371,0,00000000,e,0,1,0,"_","_"
372,372,0,00000000,e,0,1,0,"_","_"
373,373,0,00000000,e,0,1,0,"_","_"
374,374,0,00000000,e,0,1,0,"_","_"
375,375,0,00000000,e,0,1,0,"_","_"
376,376,0,00000000,e,0,1,0,"_","_"
377,377,0,00000000,e,0,1,0,"_","_"
378,378,0,00000000,e,0,1,0,"_","_"
379,379,0,00000000,e,0,1,0,"_","_"
380,380,0,00000000,e,0,1,0,"_","_"
381,381,0,00000000,e,0,1,0,"_","_"
382,382,0,00000000,e,0,1,0,"_","_"
383,383,0,00000000,e,0,1,0,"_","_"
384,384,0,00000000,e,0,1,0,"_","_"
385,385,0,00000000,e,0,1,0,"_","_"
386,386,0,00000000,e,0,1,0,"_","_"
387,387,0,00000000,e,0,1,0,"_","_"
388,388,0,00000000,e,0,1,0,"_","_"
389,389,0,00000000,e,0,1,0,"_","_"
390,390,0,00000000,e,0,1,0,"_","_"
391,391,0,00000000,e,0,1,0,"_","_"
392,392,0,00000000,e,0,1,0,"_","_"
393,393,0,00000000,e,0,1,0,"_","_"
394,394,0,00000000,e,0,1,0,"_","_"
395,395,0,00000000,e,0,1,0,"_","_"
396,396,0,00000000,e,0,1,0,"_","_"
397,397,0,00000000,e,0,1,0,"_","_"
398,398,0,00000000,e,0,1,0,"_","_"
399,399,0,00000000,e,0,1,0,"_","_"
400,400,0,00000000,e,0,1,0,"_","_"
401,401,0,00000000,e,0,1,0,"_","_"
402,402,0,00000000,e,0,1,0,"_","_"
403,403,0,00000000,e,0,1,0,"_","_"
404,404,0,00000000,e,0,1,0,"_","_"
405,405,0,00000000,e,0,1,0,"_","_"
406,406,0,00000000,e,0,1,0,"_","_"
407,407,0,00000000,e,0,1,0,"_","_"
408,408,0,00000000,e,0,1,0,"_","_"
409,409,0,00000000,e,0,1,0,"_","_"
